word,definition
unable,(usually followed by ‘to’) not having the necessary means or skill or know-how
dorsal,facing away from the axis of an organ or organism
ventral,nearest to or facing toward the axis of an organ or organism
abducting,especially of muscles; drawing away from the midline of the body or from an adjacent part
adductive,especially of muscles; bringing together or drawing toward the midline of the body or toward an adjacent part
adducting,especially of muscles; bringing together or drawing toward the midline of the body or toward an adjacent part
emergent,coming into existence
emerging,coming into existence
dissilient,"bursting open with force, as do some ripe seed vessels"
parturient,giving birth
moribund,being on the point of death; breathing your last
abridged,(used of texts) shortened by condensing or rewriting
shortened,with parts removed
potted,(British informal) summarized or abridged
unabridged,(used of texts) not shortened
absolute,perfect or complete or pure
direct,lacking compromising or mitigating elements
exact,lacking compromising or mitigating elements
implicit,being without doubt or reserve
infinite,total and all-embracing
living,(informal) absolute
relative,estimated by comparison; not absolute or complete
relational,having a relation or being related
absorbent,having power or capacity or tendency to absorb or soak up something (liquids or energy etc.)
absorptive,having power or capacity or tendency to absorb or soak up something (liquids or energy etc.)
receptive,able to absorb liquid (not repellent)
spongy,like a sponge in being able to absorb liquids and yield it back when compressed
spongelike,like a sponge in being able to absorb liquids and yield it back when compressed
thirsty,able to take in large quantities of moisture
repellent,incapable of absorbing or mixing with
resistant,incapable of absorbing or mixing with
adsorbent,having capacity or tendency to adsorb or cause to accumulate on a surface
adsorptive,having capacity or tendency to adsorb or cause to accumulate on a surface
absorbable,capable of being absorbed or taken in through the pores of a surface
adsorbable,capable of being adsorbed or accumulated on a surface of a solid
adsorbate,capable of being adsorbed or accumulated on a surface of a solid
abstemious,sparing in consumption of especially food and drink
abstinent,self-restraining; not indulging an appetite especially for food or drink
ascetic,practicing great self-denial
ascetical,practicing great self-denial
austere,practicing great self-denial
spartan,practicing great self-denial
gluttonous,given to excess in consumption of especially food or drink
crapulous,given to gross intemperance in eating or drinking
crapulent,suffering from excessive eating or drinking
crapulous,suffering from excessive eating or drinking
edacious,devouring or craving food in great quantities
esurient,devouring or craving food in great quantities
rapacious,devouring or craving food in great quantities
ravening,devouring or craving food in great quantities
ravenous,devouring or craving food in great quantities
voracious,devouring or craving food in great quantities
wolfish,devouring or craving food in great quantities
greedy,wanting to eat or drink more than one can reasonably consume
hoggish,resembling swine; coarsely gluttonous or greedy
piggish,resembling swine; coarsely gluttonous or greedy
porcine,resembling swine; coarsely gluttonous or greedy
swinish,resembling swine; coarsely gluttonous or greedy
overgreedy,excessively gluttonous
too-greedy,excessively gluttonous
abstract,existing only in the mind; separated from embodiment
ideational,being of the nature of a notion or concept
notional,being of the nature of a notion or concept
conceptual,being or characterized by concepts or their formation
ideologic,concerned with or suggestive of ideas
concrete,capable of being perceived by the senses; not abstract or imaginary
objective,belonging to immediate experience of actual things or events
tangible,capable of being treated as fact
abundant,present in great quantity
abounding,existing in abundance
galore,existing in abundance
copious,affording an abundant supply
plenteous,affording an abundant supply
plentiful,affording an abundant supply
copious,large in number or quantity (especially of discourse)
voluminous,large in number or quantity (especially of discourse)
exuberant,produced or growing in extreme abundance
luxuriant,produced or growing in extreme abundance
profuse,produced or growing in extreme abundance
riotous,produced or growing in extreme abundance
plethoric,excessively abundant
plentiful,existing in great number or quantity
rampant,(of a plant) having a lush and unchecked growth
teeming,abundantly filled with especially living things
torrential,pouring in abundance
verdant,characterized by abundance of verdure
scarce,deficient in quantity or number compared with the demand
abused,subjected to cruel treatment
maltreated,subjected to cruel treatment
mistreated,subjected to cruel treatment
battered,exhibiting symptoms resulting from repeated physical and emotional injury
unabused,not physically abused; treated properly
acceptable,worthy of acceptance or satisfactory
bankable,acceptable to or at a bank
accessible,capable of being reached
reachable,easily approached
getatable,capable of being reached or attained
outback,inaccessible and sparsely populated
remote,inaccessible and sparsely populated
pathless,lacking pathways
roadless,lacking pathways
trackless,lacking pathways
untracked,lacking pathways
untrod,lacking pathways
untrodden,lacking pathways
unreached,inaccessibly located or situated
obliging,showing a cheerful willingness to do favors for others
unobliging,not accommodating
accurate,conforming exactly or almost exactly to fact or to a standard or performing with total accuracy
faithful,marked by fidelity to an original
dead-on,accurate and to the point
surgical,performed with great precision
straight,in keeping with the facts
veracious,precisely accurate
inaccurate,erroneous
outside,(of a baseball pitch) on the far side of home plate from the batter
faulty,characterized by errors; not agreeing with a model or not following established rules
incorrect,characterized by errors; not agreeing with a model or not following established rules
unfaithful,not trustworthy
used to,in the habit of or adapted to
used to,in the habit of doing something
wont to,in the habit of doing something
unused to,infrequently exposed to
acidic,being or containing an acid; of a solution having an excess of hydrogen atoms (having a pH of less than 7)
alkaline,relating to or containing an alkali; having a pH greater than 7
alkalic,relating to or containing an alkali; having a pH greater than 7
saltlike,resembling a compound formed by replacing hydrogen in an acid by a metal
amphoteric,having characteristics of both an acid and a base and capable of reacting as either
aciduric,especially of some bacteria; growing well in an acid medium
accepted,generally approved or compelling recognition
recognized,generally approved or compelling recognition
recognised,generally approved or compelling recognition
assumptive,accepted as real or true without proof
declarable,that must be declared
granted,acknowledged as a supposition
putative,purported; commonly put forth or accepted as true on inconclusive grounds
unsung,having value that is not acknowledged
unvalued,having value that is not acknowledged
unavowed,not openly made known
secret,not openly made known
avaricious,immoderately desirous of acquiring e.g. wealth
covetous,immoderately desirous of acquiring e.g. wealth
grabby,immoderately desirous of acquiring e.g. wealth
grasping,immoderately desirous of acquiring e.g. wealth
greedy,immoderately desirous of acquiring e.g. wealth
prehensile,immoderately desirous of acquiring e.g. wealth
possessive,desirous of owning
plundering,given to taking by force what is desired
predaceous,living by or given to victimizing others for personal gain
predacious,living by or given to victimizing others for personal gain
predatory,living by or given to victimizing others for personal gain
rapacious,excessively greedy and grasping
ravening,excessively greedy and grasping
voracious,excessively greedy and grasping
sordid,meanly avaricious and mercenary
acropetal,of leaves or flowers; developing or opening in succession from base to apex
basipetal,of leaves or flowers; developing or opening in succession from apex to base
active,characterized by energetic activity
acrobatic,vigorously active
athletic,vigorously active
gymnastic,vigorously active
nimble,moving quickly and lightly
quick,moving quickly and lightly
overactive,more active than normal
on the go,(of a person) very busy and active
sporty,appropriate for sport or engagement in a sport
inactive,not active physically or mentally
desk-bound,restricted to working in an office rather than in an active physical capacity
deskbound,restricted to working in an office rather than in an active physical capacity
abeyant,inactive but capable of becoming active
dormant,inactive but capable of becoming active
hypoactive,abnormally inactive
sluggish,slow and apathetic
torpid,slow and apathetic
sedentary,requiring sitting or little activity
active,engaged in full-time work
activated,(military) set up and placed on active assignment
inactive,not engaged in full-time work
retired,no longer active in your work or profession
active,full of activity or engaged in continuous activity
bustling,full of energetic and noisy activity
springy,(of movements) light and confidently active
inactive,lacking activity; lying idle or unused
sluggish,(of business) not active or brisk
unused,not in active use
active,tending to become more severe or wider in scope
inactive,(pathology) not progressing or increasing; or progressing slowly
dead-end,lacking opportunities for development or advancement
indolent,"(of tumors, e.g.) slow to heal or develop and usually painless"
latent,(pathology) not presently active
active,disposed to take action or effectuate change
activist,advocating or engaged in activism
activistic,advocating or engaged in activism
hands-on,involving active participation
proactive,(of a policy or person or action) controlling a situation by causing something to happen rather than waiting to respond to it after it happens
passive,lacking in energy or will
inactive,lacking in energy or will
hands-off,not involving participation or intervention
resistless,"offering no resistance, passively accepting of a situation"
supine,passive as a result of indolence or indifference
active,(of e.g. volcanoes) erupting or liable to erupt
eruptive,actively spewing out lava
dormant,(of e.g. volcanoes) not erupting and not extinct
inactive,(of e.g. volcanoes) not erupting and not extinct
extinct,(of e.g. volcanoes) permanently inactive
active,(of e.g. volcanoes) capable of erupting
active,(used of verbs (e.g. ‘to run’) and participial adjectives (e.g. ‘running’ in ‘running water’)) expressing action rather than a state of being
dynamic,(used of verbs (e.g. ‘to run’) and participial adjectives (e.g. ‘running’ in ‘running water’)) expressing action rather than a state of being
stative,(used of verbs (e.g. ‘be’ or ‘own’) and most participial adjectives) expressing existence or a state rather than an action
active,expressing that the subject of the sentence has the semantic function of actor:
passive,expressing that the subject of the sentence is the patient of the action denoted by the verb
active,exerting influence or producing a change or effect
activated,rendered active; e.g. rendered radioactive or luminescent or photosensitive or conductive
inactive,not exerting influence or change
active,(of the sun) characterized by an increased occurrence of sunspots and flares and radio emissions
quiet,"(of the sun) characterized by a low level of surface phenomena, such as sunspots"
actual,presently existing in fact and not merely potential or possible
existent,presently existing in fact and not merely potential or possible
effective,existing in fact; not theoretical; real
potential,existing in possibility
possible,existing in possibility
latent,potentially existing but not presently evident or realized
subacute,less than acute; relating to a disease present in a person with no symptoms of it
chronic,being long-lasting and recurrent or characterized by long suffering
virulent,infectious; having the ability to cause disease
deadly,(of a disease) having a rapid course and violent effect
avirulent,not virulent; unable to produce disease
adaptive,having a capacity for adaptation
adaptative,having a capacity for adaptation
adjustive,conducive to adjustment
addicted,compulsively or physiologically dependent on something habit-forming
alcoholic,addicted to alcohol
dependent,addicted to a drug
dependant,addicted to a drug
hooked,addicted to a drug
strung-out,addicted to a drug
unaddicted,not addicted
addictive,causing or characterized by addiction
additive,characterized or produced by addition
cumulative,increasing by successive addition
addable,capable of being added or added to
addible,capable of being added or added to
extra,further or added
additional,further or added
completing,acting as or providing a complement (something that completes the whole)
summative,of or relating to a summation or produced by summation
ablative,tending to ablate; i.e. to be removed or vaporized at very high temperature
reductive,characterized by or causing diminution or curtailment
addressed,(of mail) marked with a destination
adequate,having the requisite qualities or resources to meet a task
equal,having the requisite qualities or resources to meet a task
capable,having the requisite qualities for
equal to,having the requisite qualities for
competent,"adequate, but not outstanding or exceptional"
inadequate,lacking the requisite qualities or resources to meet a task
unequal,lacking the requisite qualities or resources to meet a task
deficient,inadequate in amount or degree
lacking,inadequate in amount or degree
wanting,inadequate in amount or degree
incapable,not meeting requirements
unequal to,not meeting requirements
adhesive,tending to adhere
adherent,sticking fast
bondable,capable of holding together or cohering; as particles in a mass
coherent,sticking together
tenacious,sticking together
cohesive,causing cohesion
glutinous,having the sticky properties of an adhesive
sticky,having the sticky properties of an adhesive
viscid,having the sticky properties of an adhesive
viscous,having the sticky properties of an adhesive
gum-like,resembling chewing gum
gummed,covered with adhesive gum
pitchy,having the characteristics of pitch or tar
resinous,having the characteristics of pitch or tar
resiny,having the characteristics of pitch or tar
stick-on,of something (a paper label or postage stamp) gummed in advance
sticky,covered with an adhesive material
nonviscid,not resembling glue in texture
nonresiny,not having resin
non-resiny,not having resin
ungummed,not treated with adhesive gum
adjective,relating to court practice and procedure as opposed to the principles of law
procedural,relating to court practice and procedure as opposed to the principles of law
essential,defining rights and duties as opposed to giving the rules by which rights and duties are established
adoptable,suitable or eligible for adoption
adorned,provided with something intended to increase its beauty or distinction
decorated,provided with something intended to increase its beauty or distinction
gemmed,covered with beads or jewels or sequins
jeweled,covered with beads or jewels or sequins
jewelled,covered with beads or jewels or sequins
sequined,covered with beads or jewels or sequins
spangled,covered with beads or jewels or sequins
spangly,covered with beads or jewels or sequins
bedaubed,ornamented in a vulgar or showy fashion
monocled,"wearing, or having the face adorned with, eyeglasses or an eyeglass"
spectacled,"wearing, or having the face adorned with, eyeglasses or an eyeglass"
brocaded,embellished with a raised pattern created by pressure or embroidery
embossed,embellished with a raised pattern created by pressure or embroidery
raised,embellished with a raised pattern created by pressure or embroidery
buttony,ornamented with many buttons
carbuncled,set with carbuncles
champleve,(for metals) having areas separated by metal and filled with colored enamel and fired
cloisonne,(for metals) having areas separated by metal and filled with colored enamel and fired
clinquant,glittering with gold or silver
tinseled,glittering with gold or silver
tinselly,glittering with gold or silver
crested,(of a knight's helmet) having a decorative plume
plumed,(of a knight's helmet) having a decorative plume
crested,(of a bird or animal) having a usually ornamental tuft or process on the head; often used in combination
topknotted,(of a bird or animal) having a usually ornamental tuft or process on the head; often used in combination
tufted,(of a bird or animal) having a usually ornamental tuft or process on the head; often used in combination
crested,bearing an heraldic device
crocketed,(of a gable or spire) furnished with a crocket (an ornament in the form of curved or bent foliage)
feathery,adorned with feathers or plumes
feathered,adorned with feathers or plumes
frilled,having decorative ruffles or frills
frilly,having decorative ruffles or frills
ruffled,having decorative ruffles or frills
fringed,having a decorative edging of hanging cords or strips
gilt-edged,having gilded edges as the pages of a book
inflamed,adorned with tongues of flame
inlaid,adorned by inlays
inwrought,having a decorative pattern worked or woven in
mounted,decorated with applied ornamentation; often used in combination
paneled,fitted or decorated with panels or wainscoting
wainscoted,fitted or decorated with panels or wainscoting
panelled,fitted or decorated with panels or wainscoting
studded,dotted or adorned with or as with studs or nailheads; usually used in combination
tapestried,hung or decorated with tapestry
tasseled,fringed or adorned with tassels
tasselled,fringed or adorned with tassels
