question,level,answer
Which planet is closest to the Sun?,Easy,Mercury
Which planet is known as the 'Red Planet'?,Easy,Mars
Which is the largest planet in our solar system?,Easy,Jupiter
What is the only planet currently known to support life?,Easy,Earth
Which planet is famous for its extensive and beautiful ring system?,Easy,Saturn
What is the hottest planet in our solar system?,Easy,Venus
Which planet is the eighth and farthest from the Sun?,Easy,Neptune
Which planet is unique for rotating on its side?,Easy,Uranus
What is the smallest planet in our solar system?,Easy,Mercury
Which planet is often called Earth's 'sister planet' due to its similar size and mass?,Easy,Venus
What is the third planet from the Sun?,Easy,Earth
"Which planet is home to the Great Red Spot, a storm larger than Earth?",Easy,Jupiter
Which planet is named after the Roman god of war?,Medium,Mars
Which planet is named after the Roman king of the gods?,Medium,Jupiter
"On which planet is the solar system's largest volcano, Olympus Mons, located?",Medium,Mars
Which planet is the second largest in the solar system?,Easy,Saturn
Which planet has two small moons named Phobos and Deimos?,Medium,Mars
"Which planet has the shortest year, completing an orbit in just 88 Earth days?",Medium,Mercury
Which planet is often seen as a bright 'Morning Star' or 'Evening Star'?,Medium,Venus
Which planet's name is the only one not derived from Greco-Roman mythology?,Medium,Earth
"Which planet has the shortest day, rotating once in less than 10 hours?",Medium,Jupiter
"Which is the least dense planet, so light it would float in water?",Medium,Saturn
Which planet was the first to be discovered using a telescope?,Medium,Uranus
Which planet is named after the Roman god of the sea?,Medium,Neptune
Which planet has a single day that is longer than its entire year?,Hard,Venus
Which planet is an ice giant and appears a pale blue-green color due to methane?,Medium,Uranus
The atmosphere of which planet is composed primarily of hydrogen and helium?,Medium,Jupiter
"Which planet has a thick, toxic atmosphere that traps heat, causing a runaway greenhouse effect?",Medium,Venus
Which airless planet experiences the greatest temperature extremes in the solar system?,Hard,Mercury
"Which planet's surface is marked by Valles Marineris, a canyon system that dwarfs the Grand Canyon?",Hard,Mars
"Which planet boasts the fastest winds in the solar system, reaching speeds over 1,200 mph?",Hard,Neptune
Which planet rotates backward (retrograde rotation) compared to most other planets?,Medium,Venus
"Which planet has the most eccentric, or non-circular, orbit of all the planets?",Hard,Mercury
"The four large Galilean moons (Io, Europa, Ganymede, and Callisto) orbit which planet?",Hard,Jupiter
"The moon Titan, the only moon with a thick atmosphere, orbits which planet?",Hard,Saturn
Which planet's existence was mathematically predicted before it was directly observed?,Hard,Neptune
Which planet is the densest in the entire solar system?,Hard,Earth
Which planet has a mysterious hexagonal-shaped storm at its north pole?,Hard,Saturn
Which planet's moons are mostly named after characters from the works of William Shakespeare?,Hard,Uranus
"Which planet was studied in detail by the MESSENGER spacecraft, which orbited it from 2011 to 2015?",Hard,Mercury
"Which planet's largest moon, Triton, has a retrograde orbit and active geysers?",Hard,Neptune
Which planet has the coldest recorded planetary atmosphere in the solar system?,Hard,Uranus
"The rovers Spirit, Opportunity, and Curiosity explored the surface of which planet?",Medium,Mars
Which planet's powerful magnetic field protects it from solar winds and creates the auroras?,Medium,Earth
"Which planet, along with Venus, is one of the two planets without any natural moons?",Medium,Mercury
Which planet is named after the Roman god of agriculture and wealth?,Medium,Saturn
Which planet is more than twice as massive as all the other planets in the solar system combined?,Medium,Jupiter
"The Great Dark Spot, a storm system observed by Voyager 2 in 1989, was on which planet?",Medium,Neptune
"Which planet has a rotational period, or day, that is very similar in length to Earth's?",Medium,Mars
Which planet is the fourth planet from the Sun?,Easy,Mars
Which planet is the second planet from the Sun?,Easy,Venus
Which planet is the fifth planet from the Sun?,Easy,Jupiter
Which planet is the sixth planet from the Sun?,Easy,Saturn
Which planet is the seventh planet from the Sun?,Easy,Uranus
Which planet has a massive iron core that makes up about 75% of its diameter?,Hard,Mercury
Which planet is thought to have the most volcanoes of any planet in the solar system?,Hard,Venus
On which planet is the magnetic field so tilted that a compass would point far from its rotational pole?,Hard,Uranus
"Which planet has the longest orbital period, taking nearly 165 Earth years to circle the Sun?",Medium,Neptune
Which planet is the only one in our solar system where active plate tectonics have been confirmed?,Medium,Earth
Which planet is the only one named after a Greek deity rather than a Roman one?,Medium,Uranus
Which planet has a crushing surface pressure over 90 times that of Earth's?,Hard,Venus
Which planet is the smallest of the four giant planets?,Medium,Neptune
Which planet's famous rings are made mostly of particles of water ice?,Medium,Saturn
Global dust storms that can obscure the entire surface are a weather feature of which planet?,Hard,Mars
Which planet is the densest of all the giant planets?,Hard,Neptune
"The Juno mission, which entered orbit in 2016, was sent to study which planet?",Hard,Jupiter
Which planet's axial tilt of about 23.5 degrees is responsible for its seasons?,Easy,Earth
Which planet is named after the swift-footed Roman messenger of the gods?,Medium,Mercury
Which planet has polar ice caps made of both water ice and frozen carbon dioxide (dry ice)?,Medium,Mars
Which gas giant is known for its pale yellow and white atmospheric bands?,Medium,Saturn
Which ice giant is known for its deep blue color and surprisingly active weather?,Medium,Neptune
The Cassini-Huygens probe spent 13 years studying which planet and its complex system of moons and rings?,Hard,Saturn
Voyager 2 is the only spacecraft to have made a close-up visit to which ice giant?,Hard,Uranus
"Which planet, the fourth largest by diameter, is the outermost planet visible without a telescope?",Easy,Saturn
"Which planet's largest moon, Ganymede, is bigger than the planet Mercury?",Hard,Jupiter
Which planet has an atmosphere that is about 95% carbon dioxide?,Medium,Mars
"Which planet often appears almost featureless in visible light, like a placid blue ball?",Medium,Uranus
Which planet has the most confirmed moons in the solar system?,Medium,Jupiter
"The Mariner 10 mission performed three flybys of which rocky cratered world?
",Hard,Mercury
Which planet has a day lasting approximately 10 Earth hours?,Medium,Jupiter
Which planet has a day lasting approximately 17 Earth hours?,Medium,Uranus
Which planet has a day lasting approximately 16 Earth hours?,Medium,Neptune
Which planet has a day lasting an incredible 243 Earth days?,Hard,Venus
"After the Moon, which planet is often the brightest natural object in the night sky?",Easy,Venus
"Which gas giant has a faint dark ring system that was discovered by the Voyager 1 spacecraft?
",Medium,Jupiter
"This planet's rings were first seen by Galileo in 1610, though he mistook them for 'ears' or moons.",Easy,Saturn
Which planet experiences a periodic major storm known as the 'Great White Spot'?,Hard,Saturn
"This rocky planet has a core that has mostly cooled, leaving it with a very weak global magnetic field.",Medium,Mars
This planet's magnetic field is bizarrely tilted at about 47 degrees from its axis of rotation.,Hard,Neptune
"Which planet's atmosphere is 96.5% carbon dioxide, creating the most intense greenhouse effect in the solar system?",Hard,Venus
Which planet's lack of a substantial atmosphere prevents it from retaining heat?,Easy,Mercury
"Which planet is home to the Tharsis Montes, a huge volcanic plateau?",Hard,Mars
The discovery of which planet in 1781 is credited to astronomer William Herschel?,Medium,Uranus
"Which planet's deep blue color comes from methane in its atmosphere, which absorbs red light?",Medium,Neptune
Which planet is the only one with liquid water on its surface?,Easy,Earth
Which planet is closest to the Sun?,Easy,Mercury
Which planet is known as the 'Red Planet'?,Easy,Mars
Which is the largest planet in our solar system?,Easy,Jupiter
What is the only planet currently known to support life?,Easy,Earth
Which planet is famous for its extensive and beautiful ring system?,Easy,Saturn
What is the hottest planet in our solar system?,Easy,Venus
Which planet is the eighth and farthest from the Sun?,Easy,Neptune
Which planet is unique for rotating on its side?,Easy,Uranus
What is the smallest planet in our solar system?,Easy,Mercury
Which planet is often called Earth's 'sister planet' due to its similar size and mass?,Easy,Venus
What is the third planet from the Sun?,Easy,Earth
"Which planet is home to the Great Red Spot, a storm larger than Earth?",Easy,Jupiter
Which planet is named after the Roman god of war?,Medium,Mars
Which planet is named after the Roman king of the gods?,Medium,Jupiter
"On which planet is the solar system's largest volcano, Olympus Mons, located?",Medium,Mars
Which planet is the second largest in the solar system?,Easy,Saturn
Which planet has two small moons named Phobos and Deimos?,Medium,Mars
"Which planet has the shortest year, completing an orbit in just 88 Earth days?",Medium,Mercury
Which planet is often seen as a bright 'Morning Star' or 'Evening Star'?,Medium,Venus
Which planet's name is the only one not derived from Greco-Roman mythology?,Medium,Earth
"Which planet has the shortest day, rotating once in less than 10 hours?",Medium,Jupiter
"Which is the least dense planet, so light it would float in water?",Medium,Saturn
Which planet was the first to be discovered using a telescope?,Medium,Uranus
Which planet is named after the Roman god of the sea?,Medium,Neptune
Which planet has a single day that is longer than its entire year?,Hard,Venus
Which planet is an ice giant and appears a pale blue-green color due to methane?,Medium,Uranus
The atmosphere of which planet is composed primarily of hydrogen and helium?,Medium,Jupiter
"Which planet has a thick, toxic atmosphere that traps heat, causing a runaway greenhouse effect?",Medium,Venus
Which airless planet experiences the greatest temperature extremes in the solar system?,Hard,Mercury
"Which planet's surface is marked by Valles Marineris, a canyon system that dwarfs the Grand Canyon?",Hard,Mars
"Which planet boasts the fastest winds in the solar system, reaching speeds over 1,200 mph?",Hard,Neptune
Which planet rotates backward (retrograde rotation) compared to most other planets?,Medium,Venus
"Which planet has the most eccentric, or non-circular, orbit of all the planets?",Hard,Mercury
"The four large Galilean moons (Io, Europa, Ganymede, and Callisto) orbit which planet?",Hard,Jupiter
"The moon Titan, the only moon with a thick atmosphere, orbits which planet?",Hard,Saturn
Which planet's existence was mathematically predicted before it was directly observed?,Hard,Neptune
Which planet is the densest in the entire solar system?,Hard,Earth
Which planet has a mysterious hexagonal-shaped storm at its north pole?,Hard,Saturn
Which planet's moons are mostly named after characters from the works of William Shakespeare?,Hard,Uranus
"Which planet was studied in detail by the MESSENGER spacecraft, which orbited it from 2011 to 2015?",Hard,Mercury
"Which planet's largest moon, Triton, has a retrograde orbit and active geysers?",Hard,Neptune
Which planet has the coldest recorded planetary atmosphere in the solar system?,Hard,Uranus
"The rovers Spirit, Opportunity, and Curiosity explored the surface of which planet?",Medium,Mars
Which planet's powerful magnetic field protects it from solar winds and creates the auroras?,Medium,Earth
"Which planet, along with Venus, is one of the two planets without any natural moons?",Medium,Mercury
Which planet is named after the Roman god of agriculture and wealth?,Medium,Saturn
Which planet is more than twice as massive as all the other planets in the solar system combined?,Medium,Jupiter
"The Great Dark Spot, a storm system observed by Voyager 2 in 1989, was on which planet?",Medium,Neptune
"Which planet has a rotational period, or day, that is very similar in length to Earth's?",Medium,Mars
Which planet is the fourth planet from the Sun?,Easy,Mars
Which planet is the second planet from the Sun?,Easy,Venus
Which planet is the fifth planet from the Sun?,Easy,Jupiter
Which planet is the sixth planet from the Sun?,Easy,Saturn
Which planet is the seventh planet from the Sun?,Easy,Uranus
Which planet has a massive iron core that makes up about 75% of its diameter?,Hard,Mercury
Which planet is thought to have the most volcanoes of any planet in the solar system?,Hard,Venus
On which planet is the magnetic field so tilted that a compass would point far from its rotational pole?,Hard,Uranus
"Which planet has the longest orbital period, taking nearly 165 Earth years to circle the Sun?",Medium,Neptune
Which planet is the only one in our solar system where active plate tectonics have been confirmed?,Medium,Earth
Which planet is the only one named after a Greek deity rather than a Roman one?,Medium,Uranus
Which planet has a crushing surface pressure over 90 times that of Earth's?,Hard,Venus
Which planet is the smallest of the four giant planets?,Medium,Neptune
Which planet's famous rings are made mostly of particles of water ice?,Medium,Saturn
Global dust storms that can obscure the entire surface are a weather feature of which planet?,Hard,Mars
Which planet is the densest of all the giant planets?,Hard,Neptune
"The Juno mission, which entered orbit in 2016, was sent to study which planet?",Hard,Jupiter
Which planet's axial tilt of about 23.5 degrees is responsible for its seasons?,Easy,Earth
Which planet is named after the swift-footed Roman messenger of the gods?,Medium,Mercury
Which planet has polar ice caps made of both water ice and frozen carbon dioxide (dry ice)?,Medium,Mars
Which gas giant is known for its pale yellow and white atmospheric bands?,Medium,Saturn
Which ice giant is known for its deep blue color and surprisingly active weather?,Medium,Neptune
