word,definition
able,(usually followed by ‘to’) having the necessary means or skill or know-how or authority to do something
dying,in or associated with the process of passing from life or ceasing to be
last,occurring at the time of death
cut,with parts removed
uncut,complete
piggy,resembling swine; coarsely gluttonous or greedy
ideal,constituting or existing only in the form of an idea or mental image or conception
real,capable of being treated as fact
ample,affording an abundant supply
rich,affording an abundant supply
easy,"obtained with little effort or sacrifice, often obtained illegally"
lush,produced or growing in extreme abundance
thick,abounding; having a lot of
long,having or being more than normal or necessary
rife,excessively abundant
rank,growing profusely
rare,not widely distributed
tight,affected by scarcity and expensive to borrow
handy,easy to reach
close,marked by fidelity to an original
hi-fi,characterized by minimal distortion in sound reproduction
true,accurately placed or thrown
right,precisely accurate
away,(of a baseball pitch) on the far side of home plate from the batter
wrong,characterized by errors; not agreeing with a model or not following established rules
wide,not on target
new,(often followed by ‘to’) unfamiliar
acid,having the characteristics of an acid
basic,of or denoting or of the nature of or containing a base
given,acknowledged as a supposition
about,on the move
astir,on the move
agile,moving quickly and lightly
spry,moving quickly and lightly
hot,marked by excited activity
inert,slow and apathetic
soggy,slow and apathetic
off,not performing or scheduled for duties
brisk,very active
busy,crowded with or characterized by much activity
going,in full operation
open,ready for business
dark,not giving performances; closed
dead,devoid of activity
dull,(of business) not active or brisk
slow,(of business) not active or brisk
idle,not in active use
flat,commercially inactive
dead,physically inactive
alive,capable of erupting
live,capable of erupting
acute,having or experiencing a rapid onset and short but severe course
clean,free of drugs
up to,having the requisite qualities for
gluey,having the sticky properties of an adhesive
gummy,having the sticky properties of an adhesive
pasty,having the sticky properties of an adhesive
gooey,soft and sticky
icky,soft and sticky
gummy,covered with adhesive gum
tarry,having the characteristics of pitch or tar
beady,covered with beads or jewels or sequins
plumy,adorned with feathers or plumes
plain,lacking embellishment or ornamentation
bare,lacking embellishment or ornamentation
spare,lacking embellishment or ornamentation
clean,free from clumsiness; precisely or deftly executed
neat,free from clumsiness; precisely or deftly executed
deft,skillful in physical movements; especially of the hands
handy,skillful with the hands
inept,revealing lack of perceptiveness or judgment or finesse
good,promoting or enhancing well-being
plus,involving advantage or good
minus,involving disadvantage or harm
safe,(of an undertaking) secure from risk
best,(comparative and superlative of ‘well’) wiser or more advantageous and hence advisable
well,wise or advantageous and hence advisable
taken,be affected with an indisposition
hokey,artificially formal
numb,so frightened as to be unable to move; stunned or paralyzed with terror; petrified
